Consumer created
Producer created
P:: item = 85, full = 3, empty = 1
C:: item = 82, full = 3, empty = 1
C:: item = 83, full = 2, empty = 2
P:: item = 86, full = 2, empty = 1
P:: item = 87, full = 3, empty = 0
P:: item = 88, full = 4, empty = 0
C:: item = 84, full = 4, empty = 0
P:: item = 89, full = 4, empty = 0
C:: item = 85, full = 4, empty = 0
C:: item = 86, full = 3, empty = 1
C:: item = 87, full = 2, empty = 2
C:: item = 88, full = 1, empty = 3
C:: item = 89, full = 0, empty = 4
P:: item = 90, full = 0, empty = 4
P:: item = 91, full = 1, empty = 3
P:: item = 92, full = 2, empty = 2
P:: item = 93, full = 3, empty = 1
P:: item = 94, full = 4, empty = 0
C:: item = 90, full = 4, empty = 0
C:: item = 91, full = 3, empty = 1
C:: item = 92, full = 2, empty = 2
C:: item = 93, full = 1, empty = 3
C:: item = 94, full = 0, empty = 4
P:: item = 95, full = 0, empty = 4
P:: item = 96, full = 1, empty = 3
P:: item = 97, full = 2, empty = 2
P:: item = 98, full = 3, empty = 1
P:: item = 99, full = 4, empty = 0
C:: item = 95, full = 4, empty = 0
C:: item = 96, full = 3, empty = 1
C:: item = 97, full = 2, empty = 2
C:: item = 98, full = 1, empty = 3
C:: item = 99, full = 0, empty = 4
